"Profesión","A_t (Automatización)","R_h (Habilidades Humanas)","C_i (Integración)","ISIA (5 años)","Categoría de Impacto","Profesiones equivalentes (Núcleo)","Profesiones equivalentes (Complementarias)","SIES/CNED Núcleo","CINE-F Núcleo","SIES/CNED Complementarias","CINE-F Complementarias","Explicación de Valores"
"Arquitectura",4,8,9,-4.0,"Oportunidad controlada / Acelerador","Diseño Industrial, Ingeniería Civil, Diseño de Interiores","Arte, Geografía (urbanismo), Sociología, Filosofía (estética)","N/A","N/A","N/A","N/A","A_t (4) en modelado BIM y diseño generativo básico. R_h (8) en creatividad, interpretación de necesidades del cliente y viabilidad. C_i (9) altísima como herramienta. ISIA (-4.0) es Oportunidad."
"Diseño Gráfico",7,7,9,2.0,"Transformación híbrida / Co-piloto","Publicidad, Diseño Industrial, Comunicación Audiovisual","Marketing, Arte, Psicología (percepción), Informática (UI/UX)","N/A","N/A","N/A","N/A","A_t (7) en generación de imágenes (IA generativa) y layouts básicos. R_h (7) en conceptualización, identidad de marca y estrategia visual. C_i (9) total. ISIA (2.0) es Híbrido; riesgo para el 'operador', oportunidad para el 'director de arte'."
"Diseño Industrial",5,8,9,-2.0,"Oportunidad controlada / Acelerador","Arquitectura, Diseño Gráfico, Ingeniería en Mecánica","Ergonomía (Kine), Ingeniería en Materiales, Arte, Marketing","N/A","N/A","N/A","N/A","A_t (5) en prototipado y diseño generativo. R_h (8) en creatividad, ergonomía y comprensión de la materialidad. C_i (9) alta. ISIA (-2.0) es Oportunidad."
"Diseño de Interiores",5,8,8,-1.5,"Oportunidad controlada / Acelerador","Arquitectura, Diseño Industrial","Psicología (ambiental), Arte, Iluminación (Teatro)","N/A","N/A","N/A","N/A","A_t (5) en layouts y renders (IA generativa). R_h (8) en interpretación del cliente, espacialidad y ambiente. C_i (8) alta. ISIA (-1.5) es Oportunidad."
"Arte",2,10,8,-6.0,"Expansión y crecimiento / Bajo riesgo","Diseño Gráfico, Arquitectura, Filosofía (estética)","Historia del Arte, Pedagogía en Artes, Psicología","N/A","N/A","N/A","N/A","A_t (2) es irrelevante; la IA generativa es una herramienta, no reemplaza el acto creativo humano. R_h (10) es el núcleo. C_i (8) como nueva herramienta. ISIA (-6.0) es Expansión (nuevos medios)."
"Cine",4,9,9,-3.0,"Oportunidad controlada / Acelerador","Comunicación Audiovisual, Teatro, Fotografía, Periodismo","Literatura, Música, Arte, Publicidad","N/A","N/A","N/A","N/A","A_t (4) en efectos especiales (VFX) y edición básica. R_h (9) en narrativa, dirección de actores y visión creativa. C_i (9) alta. ISIA (-3.0) es Oportunidad."
"Teatro",2,10,3,-8.0,"Expansión y crecimiento / Bajo riesgo","Danza, Música, Cine (actuación), Pedagogía en Artes","Literatura, Psicología, Fonoaudiología (voz)","N/A","N/A","N/A","N/A","A_t (2) es casi nula. R_h (10) es absoluta; es una experiencia humana en vivo. C_i (3) muy baja. ISIA (-8.0) es Expansión."
"Música",3,10,8,-5.0,"Oportunidad controlada / Acelerador","Pedagogía en Música, Teatro, Danza","Física (acústica), Ingeniería de Sonido, Cine","N/A","N/A","N/A","N/A","A_t (3) en composición asistida. R_h (10) en interpretación, expresión y composición. C_i (8) como herramienta. ISIA (-5.0) es Oportunidad."
"Publicidad",7,8,9,1.5,"Transformación híbrida / Co-piloto","Marketing, Diseño Gráfico, Comunicación Audiovisual","Psicología (consumidor), Periodismo, Cine","N/A","N/A","N/A","N/A","A_t (7) en generación de copys e imágenes (IA generativa). R_h (8) en la 'gran idea', estrategia y creatividad conceptual. C_i (9) total. ISIA (1.5) es Híbrido; riesgo para el redactor junior, oportunidad para el creativo estratégico."
"Comunicación Audiovisual",6,8,9,-1.0,"Oportunidad controlada / Acelerador","Periodismo, Cine, Publicidad, Diseño Gráfico","Marketing, Teatro, Música (sonido)","N/A","N/A","N/A","N/A","A_t (6) en edición, post-producción y guiones básicos. R_h (8) en narrativa, dirección y creatividad. C_i (9) alta. ISIA (-1.0) es Oportunidad."
"Diseño de Vestuario",4,9,8,-2.0,"Oportunidad controlada / Acelerador","Diseño Industrial, Arte, Diseño Gráfico","Marketing, Teatro (vestuario), Antropología (moda)","N/A","N/A","N/A","N/A","A_t (4) en generación de patrones o ideas (IA generativa). R_h (9) en creatividad, materialidad y técnica de confección. C_i (8) alta. ISIA (-2.0) es Oportunidad."
"Fotografía",6,8,9,1.0,"Transformación híbrida / Co-piloto","Cine, Comunicación Audiovisual, Periodismo, Diseño Gráfico","Arte, Publicidad, Marketing","N/A","N/A","N/A","N/A","A_t (6) en retoque y generación de imágenes (IA generativa). R_h (8) en la composición, el 'ojo' y la dirección. C_i (9) alta. ISIA (1.0) es Híbrido; riesgo para fotografía de producto, oportunidad para la autoral."
"Danza",2,10,2,-8.0,"Expansión y crecimiento / Bajo riesgo","Teatro, Música, Kinesiología, Educación Física","Arte, Antropología","N/A","N/A","N/A","N/A","A_t (2) nula. R_h (10) absoluta; expresión corporal física. C_i (2) muy baja. ISIA (-8.0) es Expansión."
"Biología",6,6,9,-2.0,"Oportunidad controlada / Acelerador","Bioquímica, Biotecnología, Medicina, Ecología","Química, Estadística, Filosofía (bioética)","N/A","N/A","N/A","N/A","A_t (6) en análisis de laboratorio y modelamiento. R_h (6) en diseño de investigación y trabajo de campo. C_i (9) alta (bioinformática). ISIA (-2.0) es Oportunidad."
"Química",7,5,9,0.0,"Transformación híbrida / Co-piloto","Ingeniería Química, Bioquímica, Química y Farmacia","Física, Matemáticas, Biología","N/A","N/A","N/A","N/A","A_t (7) en análisis y simulación de reacciones. R_h (5) en diseño de experimentos e interpretación. C_i (9) alta. ISIA (0.0) es Híbrido."
"Física",7,6,9,-2.0,"Oportunidad controlada / Acelerador","Matemáticas, Ingeniería Eléctrica, Ingeniería Mecánica","Química, Astronomía, Filosofía, Ingeniería en Informática","N/A","N/A","N/A","N/A","A_t (7) en simulación y análisis de datos (ej. CERN). R_h (6) en pensamiento teórico y diseño experimental. C_i (9) alta. ISIA (-2.0) es Oportunidad."
"Matemáticas",8,7,9,-1.0,"Oportunidad controlada / Acelerador","Física, Estadística, Actuaría, Ingeniería en Informática","Economía, Filosofía (lógica)","N/A","N/A","N/A","N/A","A_t (8) en resolución de problemas y demostraciones asistidas. R_h (7) en el desarrollo de nueva teoría. C_i (9) alta. ISIA (-1.0) es Oportunidad; los matemáticos son necesarios para crear la IA."
"Estadística",9,5,10,2.0,"Transformación híbrida / Co-piloto","Actuaría, Matemáticas, Ingeniería en Informática (Data Science)","Economía, Sociología, Biología (Bioestadística)","N/A","N/A","N/A","N/A","A_t (9) es altísima; el 'machine learning' es estadística aplicada. R_h (5) en la interpretación y el diseño del modelo. C_i (10) total. ISIA (2.0) es Híbrido; el estadístico tradicional (SPSS) es reemplazado por el científico de datos."
"Agronomía",5,7,8,-2.5,"Oportunidad controlada / Acelerador","Ingeniería Forestal, Veterinaria (producción), Ingeniería en Alimentos","Biología, Geografía, Economía (agronegocios), Ingeniería Agrícola","N/A","N/A","N/A","N/A","A_t (5) en monitoreo (drones, satélites) y gestión de riego. R_h (7) en trabajo de campo, fitopatología y gestión. C_i (8) alta (AgriTech). ISIA (-2.5) es Oportunidad."
"Ingeniería Forestal",5,7,8,-3.0,"Oportunidad controlada / Acelerador","Agronomía, Ingeniería Ambiental, Biología","Geografía, Ingeniería Civil (madera), Economía","N/A","N/A","N/A","N/A","A_t (5) en monitoreo (drones, LIDAR) y modelos de crecimiento. R_h (7) en gestión de terreno y sostenibilidad. C_i (8) alta. ISIA (-3.0) es Oportunidad."
"Geología",5,7,9,-3.0,"Oportunidad controlada / Acelerador","Ingeniería en Minas, Geografía, Ingeniería Civil","Oceanografía, Arqueología, Física (geofísica)","N/A","N/A","N/A","N/A","A_t (5) en análisis de muestras y modelamiento de yacimientos. R_h (7) en trabajo de campo e interpretación. C_i (9) alta. ISIA (-3.0) es Oportunidad."
"Oceanografía",6,6,9,-2.5,"Oportunidad controlada / Acelerador","Biología Marina, Geología, Geografía","Física, Química, Ingeniería Ambiental","N/A","N/A","N/A","N/A","A_t (6) en análisis de datos satelitales y modelamiento de corrientes. R_h (6) en campañas de muestreo e interpretación. C_i (9) alta. ISIA (-2.5) es Oportunidad."
"Ingeniería en Acuicultura",6,6,8,-2.0,"Oportunidad controlada / Acelerador","Biología Marina, Agronomía, Veterinaria","Ingeniería en Alimentos, Ingeniería Ambiental, Logística","N/A","N/A","N/A","N/A","A_t (6) en monitoreo de alimentación y calidad de agua. R_h (6) en gestión de salud animal y operaciones. C_i (8) alta. ISIA (-2.0) es Oportunidad."
"Ingeniería Agrícola",6,6,9,-2.0,"Oportunidad controlada / Acelerador","Agronomía, Ingeniería Mecánica, Ingeniería Civil (riego)","Ingeniería Eléctrica (automatización), Logística","N/A","N/A","N/A","N/A","A_t (6) en diseño de maquinaria y sistemas de riego. R_h (6) en adaptación a terreno y gestión. C_i (9) alta (maquinaria autónoma). ISIA (-2.0) es Oportunidad."
"Horticultura",5,7,8,-2.0,"Oportunidad controlada / Acelerador","Agronomía, Biología, Diseño (paisajismo)","Ingeniería en Alimentos, Gastronomía","N/A","N/A","N/A","N/A","A_t (5) en control de invernaderos y logística. R_h (7) en conocimiento de especies, plagas y gestión de cultivos. C_i (8) alta. ISIA (-2.0) es Oportunidad."
"Vitivinicultura",5,7,8,-1.5,"Oportunidad controlada / Acelerador","Agronomía, Química, Ingeniería en Alimentos","Gastronomía (sommelier), Marketing, Comercio Internacional","N/A","N/A","N/A","N/A","A_t (5) en monitoreo de viñedos y control de fermentación. R_h (7) en la enología (olfato, gusto) y gestión. C_i (8) alta. ISIA (-1.5) es Oportunidad."
"Técnico en Enfermería",5,9,6,0.0,"Transformación híbrida / Co-piloto","Enfermería (rol de apoyo), Terapia Ocupacional (asistente)","Administración (salud), Cuidado de ancianos","N/A","N/A","N/A","N/A","A_t (5) en toma de signos vitales y monitoreo. R_h (9) en el cuidado directo, confort del paciente y asistencia física. C_i (6) moderada. ISIA (0.0) es Híbrido; tareas rutinarias se automatizan, pero el cuidado directo no."
"Técnico en Administración",9,4,8,6.0,"Riesgo crítico / Sustitución estructural","Administración de Empresas, Contador General","Secretariado, Logística (bodega)","N/A","N/A","N/A","N/A","A_t (9) es altísima; digitación, reportes básicos, gestión de agenda y tareas de back-office son 100% automatizables. R_h (4) baja. C_i (8) alta (la IA hace el trabajo). ISIA (6.0) es Riesgo Crítico."
"Técnico en Contabilidad",9,3,9,7.0,"Riesgo crítico / Sustitución estructural","Contador Auditor (rol de apoyo), Técnico en Administración","Auditoría, Finanzas (asistente)","N/A","N/A","N/A","N/A","A_t (9) altísima; el registro de asientos contables, facturación y conciliaciones son las tareas más fáciles de automatizar. R_h (3) baja. C_i (9) total. ISIA (7.0) es Riesgo Crítico."
"Técnico en Programación",7,4,10,3.5,"Alta reconversión / Riesgo moderado","Ingeniería en Informática (rol de apoyo), Analista de Sistemas","Diseño Web, Soporte TI, QA/Testing","N/A","N/A","N/A","N/A","A_t (7) es alta; la IA generativa (co-pilots) es excelente en código 'boilerplate' y tareas de nivel técnico. R_h (4) es moderada. C_i (10) total. ISIA (3.5) es Alta Reconversión; se requiere escalar a roles de ingeniería o supervisión de IA."
