Profesión,A_t,R_h,C_i,ISIA_5años,Categoría_Impacto,Profesiones_Núcleo,Profesiones_Complementarias,SIES_CNED_Núcleo,CINE_F_Núcleo,SIES_CNED_Complementarias,CINE_F_Complementarias,Explicación_Valores
Administración de Recursos Humanos,6,8,8,0.2,Transformación híbrida,"Psicología, Trabajo Social, Administración","Derecho Laboral, Sociología, Ingeniería Industrial","0413, 0313, 0923","0413, 0313, 0923","0421, 0314, 0714","0421, 0314, 0714","A_t medio-alto: reclutamiento automatizable con ATS. R_h alto: gestión de talento y cultura. C_i muy alto: HR analytics y chatbots. ISIA neutro: automatización de procesos pero gestión humana crítica."
Arquitectura,4,9,9,-3.5,Oportunidad controlada,"Ingeniería Civil, Diseño Industrial, Urbanismo","Ingeniería en Construcción, Arte, Diseño de Interiores","0731, 0713, 0732","0731, 0713, 0732","0732, 0213, 0212","0732, 0213, 0212","A_t medio: diseño asistido por IA. R_h muy alto: creatividad espacial y contexto cultural. C_i muy alto: BIM y renderizado. ISIA negativo: déficit habitacional y diseño sostenible."
Diseño Gráfico,6,8,9,0.5,Transformación híbrida,"Publicidad, Diseño Web, Arte","Marketing, Fotografía, Comunicación Audiovisual","0212, 0212, 0213","0212, 0212, 0213","0414, 0212, 0321","0414, 0212, 0321","A_t medio-alto: diseño generativo con IA. R_h alto: concepto creativo y branding. C_i muy alto: herramientas generativas y automatización. ISIA neutro: automatización de diseño básico pero branding estratégico necesario."
Diseño Industrial,5,8,9,-1.8,Oportunidad controlada,"Ingeniería Mecánica, Arquitectura, Diseño de Productos","Ingeniería en Materiales, Arte, Ergonomía","0214, 0715, 0731","0214, 0715, 0731","0712, 0213, 0916","0712, 0213, 0916","A_t medio: prototipado 3D automatizable. R_h alto: innovación en productos y UX. C_i muy alto: CAD y manufactura digital. ISIA negativo leve: diseño centrado en usuario y sostenibilidad."
Diseño de Interiores,4,9,8,-2.5,Oportunidad controlada,"Arquitectura, Diseño, Decoración","Arte, Ingeniería Civil, Psicología Ambiental","0212, 0731, 0212","0212, 0731, 0212","0213, 0713, 0313","0213, 0713, 0313","A_t medio: renders automatizables. R_h muy alto: sensibilidad estética y necesidades del cliente. C_i muy alto: software de diseño 3D. ISIA negativo: mercado inmobiliario y espacios funcionales."
Arte,2,10,6,-5.8,Expansión y crecimiento,"Diseño, Pedagogía en Arte, Historia del Arte","Filosofía, Psicología, Fotografía","0213, 0111, 0222","0213, 0111, 0222","0223, 0313, 0212","0223, 0313, 0212","A_t muy bajo: expresión artística genuina. R_h máximo: creatividad y visión única. C_i medio: herramientas digitales auxiliares. ISIA muy negativo: arte como experiencia humana insustituible y mercado creciente."
Cine,4,9,9,-3.2,Oportunidad controlada,"Comunicación Audiovisual, Fotografía, Teatro","Literatura, Música, Publicidad","0211, 0321, 0212","0211, 0321, 0212","0231, 0215, 0414","0231, 0215, 0414","A_t medio: efectos VFX automatizables. R_h muy alto: narrativa y dirección. C_i muy alto: edición con IA y CGI. ISIA negativo: streaming y contenido audiovisual en explosión."
Teatro,2,10,4,-6.2,Expansión y crecimiento,"Cine, Pedagogía en Arte, Literatura","Psicología, Danza, Música","0215, 0211, 0231","0215, 0211, 0231","0313, 0215, 0215","0313, 0215, 0215","A_t muy bajo: actuación en vivo no reemplazable. R_h máximo: expresión corporal y emocional. C_i muy bajo: pocas herramientas IA aplicables. ISIA muy negativo: experiencia humana presencial única."
Música,3,10,7,-4.8,Expansión y crecimiento,"Pedagogía en Música, Producción Musical, Composición","Teatro, Cine, Ingeniería en Sonido","0215, 0111, 0215","0215, 0111, 0215","0215, 0211, 0612","0215, 0211, 0612","A_t bajo: composición asistida pero interpretación humana. R_h máximo: expresividad e improvisación. C_i alto: producción musical con IA. ISIA negativo: música en vivo y streaming creciente."
Publicidad,6,8,9,1.2,Transformación híbrida,"Marketing, Diseño Gráfico, Comunicación","Psicología, Periodismo, Cine","0414, 0212, 0321","0414, 0212, 0321","0313, 0321, 0211","0313, 0321, 0211","A_t medio-alto: anuncios automatizados. R_h alto: conceptualización creativa. C_i muy alto: publicidad programática. ISIA neutro-positivo: automatización de producción pero creatividad estratégica necesaria."
Comunicación Audiovisual,5,8,9,-1.5,Oportunidad controlada,"Cine, Periodismo, Publicidad","Diseño Gráfico, Fotografía, Marketing","0321, 0321, 0414","0321, 0321, 0414","0212, 0212, 0414","0212, 0212, 0414","A_t medio: edición automatizable. R_h alto: narrativa audiovisual. C_i muy alto: post-producción con IA. ISIA negativo leve: contenido digital en expansión constante."
Diseño de Vestuario,4,9,7,-3.5,Oportunidad controlada,"Diseño, Moda, Teatro","Arte, Ingeniería Textil, Marketing","0212, 0212, 0215","0212, 0212, 0215","0213, 0714, 0414","0213, 0714, 0414","A_t medio: patrones digitalizables. R_h muy alto: creatividad y tendencias. C_i alto: diseño 3D de prendas. ISIA negativo: moda sostenible y personalización."
Fotografía,6,8,8,0.8,Transformación híbrida,"Diseño Gráfico, Cine, Comunicación Audiovisual","Arte, Publicidad, Periodismo","0212, 0211, 0321","0212, 0211, 0321","0213, 0414, 0321","0213, 0414, 0321","A_t medio-alto: edición fotográfica con IA. R_h alto: ojo fotográfico y composición. C_i muy alto: retoque automatizado. ISIA neutro-positivo: automatización de edición pero fotografía profesional necesaria."
Danza,2,10,4,-6.5,Expansión y crecimiento,"Teatro, Pedagogía en Danza, Kinesiología","Música, Terapia Ocupacional, Arte","0215, 0111, 0916","0215, 0111, 0916","0215, 0916, 0213","0215, 0916, 0213","A_t muy bajo: danza es expresión corporal humana. R_h máximo: interpretación y expresividad únicas. C_i muy bajo: coreografía asistida limitada. ISIA muy negativo: artes escénicas y wellness en alza."
Biología,5,7,8,-2.2,Oportunidad controlada,"Bioquímica, Biología Marina, Agronomía","Medicina, Química, Ingeniería Ambiental","0511, 0511, 0811","0511, 0511, 0811","0912, 0531, 0713","0912, 0531, 0713","A_t medio: análisis de laboratorio automatizable. R_h alto: diseño experimental e interpretación. C_i muy alto: bioinformática y secuenciación. ISIA negativo leve: biotecnología y conservación."
Química,5,6,8,-1.5,Oportunidad controlada,"Bioquímica, Ingeniería Química, Farmacia","Física, Ingeniería en Alimentos, Biología","0531, 0711, 0531","0531, 0711, 0531","0533, 0541, 0511","0533, 0541, 0511","A_t medio: análisis químico automatizable. R_h medio-alto: síntesis e investigación. C_i muy alto: instrumentación automatizada. ISIA negativo leve: química verde y nuevos materiales."
Física,4,7,8,-2.8,Oportunidad controlada,"Matemáticas, Ingeniería, Astronomía","Química, Ingeniería Eléctrica, Filosofía","0533, 0541, 0713","0533, 0541, 0713","0531, 0713, 0223","0531, 0713, 0223","A_t medio: simulaciones físicas automatizables. R_h alto: teorización y diseño experimental. C_i muy alto: modelado computacional. ISIA negativo: física cuántica, energías y materiales avanzados."
Matemáticas,4,7,9,-3.5,Oportunidad controlada,"Estadística, Física, Ingeniería","Economía, Informática, Pedagogía en Matemáticas","0541, 0542, 0533","0541, 0542, 0533","0311, 0610, 0111","0311, 0610, 0111","A_t medio: cálculos automatizables. R_h alto: demostración y pensamiento abstracto. C_i muy alto: software matemático y IA. ISIA negativo: matemáticas para IA y ciencia de datos."
Estadística,6,6,10,-1.8,Oportunidad controlada,"Matemáticas, Data Science, Actuaría","Economía, Sociología, Ingeniería","0542, 0610, 0542","0542, 0610, 0542","0311, 0314, 0714","0311, 0314, 0714","A_t medio-alto: análisis descriptivo automatizable. R_h medio-alto: diseño de estudios e inferencia. C_i máximo: machine learning y análisis masivo. ISIA negativo leve: data science en todas las industrias."
Agronomía,4,7,8,-3.2,Oportunidad controlada,"Ingeniería Agrícola, Horticultura, Veterinaria","Biología, Ingeniería Ambiental, Química","0811, 0811, 0841","0811, 0811, 0841","0511, 0713, 0531","0511, 0713, 0531","A_t medio: monitoreo de cultivos automatizable. R_h alto: manejo integrado y decisiones contextuales. C_i muy alto: agricultura de precisión. ISIA negativo: seguridad alimentaria y cambio climático."
Ingeniería Forestal,4,7,8,-2.8,Oportunidad controlada,"Agronomía, Ingeniería Ambiental, Biología","Geología, Ingeniería Civil, Geografía","0821, 0811, 0713","0821, 0811, 0713","0532, 0713, 0532","0532, 0713, 0532","A_t medio: inventarios forestales con drones. R_h alto: manejo sustentable y planificación. C_i muy alto: teledetección y SIG. ISIA negativo: restauración ecológica y bonos de carbono."
Geología,4,7,8,-2.5,Oportunidad controlada,"Ingeniería en Minas, Geografía, Geofísica","Ingeniería Civil, Ingeniería Ambiental, Oceanografía","0532, 0532, 0532","0532, 0532, 0532","0713, 0713, 0532","0713, 0713, 0532","A_t medio: análisis geológico con sensores. R_h alto: interpretación de formaciones. C_i muy alto: modelado 3D y geofísica. ISIA negativo: recursos minerales para transición energética."
Oceanografía,4,7,8,-2.8,Oportunidad controlada,"Biología Marina, Geología, Geografía","Ingeniería Ambiental, Química, Física","0532, 0511, 0532","0532, 0511, 0532","0713, 0531, 0533","0713, 0531, 0533","A_t medio: monitoreo oceánico automatizable. R_h alto: investigación de ecosistemas complejos. C_i muy alto: boyas inteligentes y satélites. ISIA negativo: cambio climático y recursos marinos."
Ingeniería en Acuicultura,5,6,8,-1.8,Oportunidad controlada,"Biología Marina, Medicina Veterinaria, Agronomía","Ingeniería Ambiental, Nutrición Animal, Oceanografía","0831, 0511, 0811","0831, 0511, 0811","0713, 0812, 0532","0713, 0812, 0532","A_t medio: alimentación y monitoreo automatizables. R_h medio-alto: manejo sanitario y producción. C_i muy alto: sensores acuícolas y IA. ISIA negativo leve: demanda global de proteína marina."
Ingeniería Agrícola,5,6,8,-2.2,Oportunidad controlada,"Agronomía, Ingeniería Civil, Ingeniería Mecánica","Ingeniería en Riego, Ingeniería Ambiental, Horticultura","0812, 0811, 0713","0812, 0811, 0713","0811, 0713, 0811","0811, 0713, 0811","A_t medio: sistemas de riego automatizables. R_h medio-alto: diseño de infraestructura agrícola. C_i muy alto: agricultura de precisión. ISIA negativo: eficiencia hídrica y producción sostenible."
Horticultura,4,7,7,-2.8,Oportunidad controlada,"Agronomía, Paisajismo, Biología","Ingeniería Agrícola, Nutrición, Diseño","0811, 0811, 0511","0811, 0811, 0511","0812, 0916, 0212","0812, 0916, 0212","A_t medio: invernaderos automatizables. R_h alto: manejo de cultivos especializados. C_i alto: sensores climáticos. ISIA negativo: agricultura urbana y alimentación saludable."
Vitivinicultura,4,8,7,-3.5,Oportunidad controlada,"Agronomía, Enología, Ingeniería en Alimentos","Química, Marketing, Turismo","0811, 0541, 0811","0811, 0541, 0811","0531, 0414, 1015","0531, 0414, 1015","A_t medio: procesos vitivinícolas automatizables. R_h alto: arte de vinificación y terroir. C_i alto: sensores de madurez y fermentación. ISIA negativo: vinos premium y enoturismo."
Técnico en Enfermería,5,8,6,-3.5,Oportunidad controlada,"Enfermería, Técnico en Paramédico, Cuidado de Adulto Mayor","Kinesiología, Técnico en Farmacia, Trabajo Social","0913, 0913, 0913","0913, 0913, 0913","0916, 0531, 0923","0916, 0531, 0923","A_t medio: monitoreo automatizable. R_h alto: cuidado directo y empatía. C_i medio: dispositivos de monitoreo. ISIA negativo: envejecimiento poblacional y déficit crítico."
Técnico en Administración,7,5,8,3.5,Alta reconversión,"Secretariado, Administración de Empresas, Técnico en Contabilidad","Recursos Humanos, Logística, Atención al Cliente","0413, 0413, 0411","0413, 0413, 0411","0413, 0416, 1032","0413, 0416, 1032","A_t alto: tareas administrativas muy automatizables. R_h medio: atención y coordinación básica. C_i muy alto: ERPs y automatización RPA. ISIA positivo alto: mayoría de tareas rutinarias automatizadas."
Técnico en Contabilidad,8,4,8,4.5,Riesgo crítico,"Contador Auditor, Técnico en Administración, Asistente Contable","Finanzas, Auditoría, Impuestos","0411, 0411, 0413","0411, 0411, 0413","0411, 0411, 0421","0411, 0411, 0421","A_t muy alto: contabilidad básica totalmente automatizable. R_h bajo-medio: tareas estandarizadas. C_i muy alto: software contable con IA. ISIA positivo muy alto: alto riesgo de sustitución por automatización."
Técnico en Programación,7,5,10,2.2,Alta reconversión,"Ingeniería en Informática, Desarrollo Web, Analista de Sistemas","Diseño UX, Testing, Data Science","0613, 0610, 0610","0613, 0610, 0610","0212, 0613, 0610","0212, 0613, 0610","A_t alto: código simple generado por IA. R_h medio: lógica de programación. C_i máximo: GitHub Copilot y asistentes. ISIA positivo medio: automatización de código básico pero demanda sigue alta."
