Profesión,A_t,R_h,C_i,ISIA (5 años),Categoría de Impacto,Profesiones equivalentes (Núcleo),Profesiones equivalentes (Complementarias),SIES/CNED Núcleo,CINE-F Núcleo,SIES/CNED Complementarias,CINE-F Complementarias,Explicación de Valores
Administración de Empresas,6,7,8,-1.0,Transformación híbrida,"Ingeniería Comercial, Contador Auditor, Marketing","Psicología, Derecho, Ingeniería Industrial",0413,0413,0413,0413,"A_t: 6 (Análisis de datos operativos y gestión de procesos son automatizables). R_h: 7 (Liderazgo, toma de decisiones, negociación, gestión de personas). C_i: 8 (IA para análisis de negocio, gestión de recursos, pronósticos). ISIA: -1.0 (La IA automatiza el análisis, el administrador se enfoca en la estrategia y la gestión humana)."
Administración Pública,5,7,7,-2.5,Oportunidad controlada,"Ciencia Política, Derecho, Sociología","Economía, Contador Auditor",0413,0413,0413,0413,"A_t: 5 (Procesos administrativos y análisis de datos públicos son automatizables). R_h: 7 (Politización, servicio ciudadano, implementación de políticas). C_i: 7 (IA para optimización de servicios públicos, análisis de datos ciudadanos). ISIA: -2.5 (La IA mejora la eficiencia del Estado, el administrador se centra en la gobernanza y la equidad)."
Economía,5,8,8,-2.2,Transformación híbrida,"Ingeniería Comercial, Actuaría, Estadística","Sociología, Ciencia Política, Filosofía",0311,0311,0311,0311,"A_t: 5 (Modelado económico y pronósticos son dominios de la IA). R_h: 8 (Pensamiento crítico, teoría económica, interpretación de contextos). C_i: 8 (IA para modelados econométricos complejos, análisis de escenarios). ISIA: -2.2 (La IA es una herramienta poderosa, el economista la dirige y interpreta sus resultados para la política económica)."
Auditoría,7,6,8,3.0,Alta reconversión,"Contador Auditor, Ingeniería Comercial, Ingeniería en Prevención de Riesgos","Derecho, Estadística",0412,0412,0412,0412,"A_t: 7 (Muestreo y pruebas de transacciones son automatizables). R_h: 6 (Escepticismo profesional, juicio, entrevistas, informes). C_i: 8 (IA para análisis continuo de transacciones, detección de anomalías). ISIA: 3.0 (La auditoría tradicional se automatiza, el auditor se convierte en un analista de riesgos y consultor)."
Control de Gestión,6,7,8,-1.5,Transformación híbrida,"Ingeniería Industrial, Administración de Empresas, Auditoría","Estadística, Psicología Organizacional",0413,0413,0413,0413,"A_t: 6 (Análisis de indicadores de desempeño es automatizable). R_h: 7 (Interpretación de resultados, influencia en la toma de decisiones, comunicación con gerentes). C_i: 8 (IA para dashboards en tiempo real, análisis predictivo de desempeño). ISIA: -1.5 (La IA proporciona los datos, el controller los interpreta y convierte en acciones estratégicas)."
Logística y Transporte,7,6,9,2.0,Alta reconversión,"Ingeniería Industrial, Comercio Internacional, Administración de Empresas","Ingeniería en Informática, Geografía",0415,0415,0415,0415,"A_t: 7 (Ruteo, gestión de inventarios y almacenes son altamente automatizables). R_h: 6 (Gestión de proveedores, resolución de imprevistos, negociación). C_i: 9 (IA para optimización de toda la cadena de suministro, logística predictiva). ISIA: 2.0 (La IA gestiona la logística operativa, el profesional se enfoca en la estrategia de cadena de suministro y relaciones)."
Marketing,5,7,9,-0.5,Transformación híbrida,"Publicidad, Diseño Gráfico, Comunicación Audiovisual","Psicología, Sociología, Estadística",0414,0414,0414,0414,"A_t: 5 (Publicidad programática y análisis de datos de mercado son automatizables). R_h: 7 (Creatividad, estrategia de marca, entendimiento del consumidor). C_i: 9 (IA para personalización de marketing, análisis de sentimiento, generación de contenido básico). ISIA: -0.5 (La IA ejecuta campañas, el marketero diseña la estrategia creativa y de marca)."
Ingeniería en Finanzas,6,7,8,-1.0,Transformación híbrida,"Economía, Actuaría, Ingeniería Comercial","Matemáticas, Estadística",0412,0412,0412,0412,"A_t: 6 (Análisis cuantitativo y trading algorítmico son dominios de la IA). R_h: 7 (Gestión de riesgos, estrategia de inversión, relación con clientes). C_i: 8 (IA para modelado financiero, análisis de riesgos, algoritmos de trading). ISIA: -1.0 (La IA es la herramienta principal, el ingeniero diseña los modelos y estrategias)."
Actuaría,7,6,8,1.5,Transformación híbrida,"Estadística, Ingeniería en Finanzas, Economía","Matemáticas, Sociología",0541,0541,0541,0541,"A_t: 7 (Cálculo de primas y modelos de riesgo son altamente automatizables). R_h: 6 (Diseño de productos, juicio sobre supuestos de modelos, comunicación de riesgos). C_i: 8 (IA para desarrollo de modelos predictivos complejos, análisis de big data). ISIA: 1.5 (La IA realiza los cálculos, el actuario se enfoca en el diseño y la interpretación estratégica de los modelos)."
Comercio Internacional,5,7,7,-2.2,Transformación híbrida,"Administración de Empresas, Derecho, Relaciones Internacionales","Logística y Transporte, Economía",0416,0416,0416,0416,"A_t: 5 (Trámites aduaneros y logística son automatizables). R_h: 7 (Negociación internacional, comprensión de culturas, gestión de contratos). C_i: 7 (IA para gestión de documentos, análisis de mercados internacionales). ISIA: -2.2 (La IA agiliza los procesos, el profesional se centra en la negociación y la estrategia global)."
Gestión de Turismo,4,7,7,-3.0,Oportunidad controlada,"Relaciones Internacionales, Administración de Empresas, Historia","Geografía, Arte, Idiomas",0415,0415,0415,0415,"A_t: 4 (Reservas y recomendaciones básicas son automatizables). R_h: 7 (Servicio al cliente, creación de experiencias, gestión de crisis). C_i: 7 (IA para personalización de viajes, gestión dinámica de precios, chatbots). ISIA: -3.0 (La IA maneja la logística, el gestor crea y supervisa experiencias turísticas únicas)."
Administración de Recursos Humanos,6,7,8,-1.0,Transformación híbrida,"Psicología, Trabajo Social, Sociología","Derecho, Ingeniería Industrial",0413,0413,0413,0413,"A_t: 6 (Screening de CVs, nómina, y entrenamiento online son automatizables). R_h: 7 (Gestión del talento, resolución de conflictos, cultura organizacional, liderazgo). C_i: 8 (IA para análisis de clima laboral, reclutamiento predictivo, planes de carrera). ISIA: -1.0 (La IA automatiza procesos, el profesional de RRHH se enfoca en la estrategia de personas y el desarrollo organizacional)."
Arquitectura,4,8,8,-3.5,Oportunidad controlada,"Diseño de Interiores, Ingeniería Civil, Diseño Industrial","Arte, Sociología, Geografía",0731,0731,0731,0731,"A_t: 4 (Diseño generativo y planos son asistidos por IA). R_h: 8 (Creatividad, comprensión del espacio y la luz, relación con el cliente, contexto social). C_i: 8 (IA para optimización energética, diseño generativo, planificación urbana). ISIA: -3.5 (La IA es un co-piloto de diseño, el arquitecto aporta la visión creativa y contextual)."
Diseño Gráfico,5,8,8,-1.5,Transformación híbrida,"Publicidad, Comunicación Audiovisual, Arte","Marketing, Psicología (UX)",0732,0732,0732,0732,"A_t: 5 (Diseño de plantillas y elementos básicos es automatizable). R_h: 8 (Creatividad, dirección de arte, storytelling visual, branding). C_i: 8 (IA para generación de imágenes, edición, layout automático). ISIA: -1.5 (La IA genera opciones, el diseñador cura, dirige y aplica la estrategia creativa)."
Diseño Industrial,4,8,8,-3.0,Oportunidad controlada,"Arquitectura, Ingeniería en Mecánica, Arte","Marketing, Psicología (Ergonomía)",0732,0732,0732,0732,"A_t: 4 (Diseño generativo y prototipado 3D son asistidos por IA). R_h: 8 (Creatividad, ergonomía, usabilidad, estética). C_i: 8 (IA para diseño generativo, simulación de uso, personalización masiva). ISIA: -3.0 (La IA explora formas, el diseñador evalúa la funcionalidad, manufactura y experiencia de usuario)."
Diseño de Interiores,3,8,7,-4.0,Oportunidad controlada,"Arquitectura, Diseño Gráfico, Arte","Psicología, Sociología",0733,0733,0733,0733,"A_t: 3 (Renderizado y planificación de espacios es asistido). R_h: 8 (Creatividad, comprensión de necesidades del cliente, estética, funcionalidad). C_i: 7 (IA para visualización 3D, optimización de espacios, catálogos de productos). ISIA: -4.0 (La IA ayuda a visualizar, el diseñador crea la atmósfera y la experiencia espacial)."
Arte,2,9,4,-6.0,Expansión y crecimiento,"Diseño Gráfico, Cine, Teatro","Filosofía, Historia, Psicología",0212,0212,0212,0212,"A_t: 2 (La creación artística conceptual y manual es inherentemente humana). R_h: 9 (Creatividad, expresión personal, técnica, sensibilidad). C_i: 4 (IA como herramienta de creación digital, referencia). ISIA: -6.0 (La IA puede imitar estilos, pero no la intención, emoción y contexto del arte humano. Su valor se mantiene)."
Cine,3,8,7,-4.0,Oportunidad controlada,"Comunicación Audiovisual, Teatro, Música","Literatura, Psicología, Marketing",0213,0213,0213,0213,"A_t: 3 (Edición, VFX y guiones básicos pueden ser asistidos). R_h: 8 (Dirección, storytelling, trabajo con actores, visión artística). C_i: 7 (IA para edición automática, generación de guiones gráficos, corrección de color). ISIA: -4.0 (La IA es una herramienta más en la posproducción, la dirección y la creatividad son humanas)."
Teatro,2,9,4,-5.8,Expansión y crecimiento,"Cine, Danza, Música","Literatura, Psicología, Historia",0214,0214,0214,0214,"A_t: 2 (La actuación en vivo y la dirección escénica son experiencias humanas únicas). R_h: 9 (Expresión corporal, voz, emociones, trabajo en equipo, improvisación). C_i: 4 (IA para iluminación, sonido, escenografía virtual). ISIA: -5.8 (La IA no puede replicar la energía y conexión única del teatro en vivo)."
Música,3,9,6,-4.5,Oportunidad controlada,"Danza, Teatro, Pedagogía en Música","Psicología, Ingeniería en Sonido",0215,0215,0215,0215,"A_t: 3 (Composición algorítmica y mastering asistido existen). R_h: 9 (Interpretación, expresión emocional, creatividad compositiva, oído). C_i: 6 (IA para composición asistida, plugins de sonido, distribución). ISIA: -4.5 (La IA es una herramienta para músicos, no un reemplazo. La interpretación y creatividad humanas son centrales)."
Publicidad,5,7,8,-1.8,Transformación híbrida,"Marketing, Diseño Gráfico, Comunicación Audiovisual","Psicología, Sociología",0414,0414,0414,0414,"A_t: 5 (Publicidad programática y generación de contenido básico son automatizables). R_h: 7 (Creatividad, estrategia de campañas, insight del consumidor). C_i: 8 (IA para targeting ultra-segmentado, generación de variantes de anuncios, análisis de performance). ISIA: -1.8 (La IA optimiza la distribución, el publicista crea el "big idea" y la conexión emocional)."
Comunicación Audiovisual,4,7,7,-3.0,Oportunidad controlada,"Cine, Periodismo, Publicidad","Teatro, Literatura, Marketing",0321,0321,0321,0321,"A_t: 4 (Edición, motion graphics y guiones simples pueden ser asistidos). R_h: 7 (Storytelling, dirección, producción, trabajo en equipo). C_i: 7 (IA para edición de video, generación de scripts, efectos visuales). ISIA: -3.0 (La IA es una herramienta de producción, la creatividad y dirección humanas son el núcleo)."
Diseño de Vestuario,3,8,6,-4.0,Oportunidad controlada,"Diseño Gráfico, Teatro, Arte","Historia, Psicología",0732,0732,0732,0732,"A_t: 3 (Diseño de patrones y textiles puede ser asistido). R_h: 8 (Creatividad, conocimiento de tejidos, expresión de carácter a través de la ropa). C_i: 6 (IA para diseño de patrones, visualización de tejidos). ISIA: -4.0 (La IA ayuda en la técnica, el diseñador aporta la visión artística y conceptual)."
Fotografía,4,8,7,-3.2,Oportunidad controlada,"Cine, Comunicación Audiovisual, Arte","Periodismo, Publicidad",0212,0212,0212,0212,"A_t: 4 (Edición y composición básica son automatizables). R_h: 8 (Ojo artístico, composición, relación con el sujeto, iluminación). C_i: 7 (IA para edición automática, organización de archivos, efectos). ISIA: -3.2 (La IA ayuda en el procesamiento, el fotógrafo captura el momento, la emoción y la perspectiva única)."
Danza,2,9,4,-5.8,Expansión y crecimiento,"Teatro, Música, Pedagogía en Música","Educación Física, Psicología",0215,0215,0215,0215,"A_t: 2 (La expresión corporal y coreografía son inherentemente humanas). R_h: 9 (Expresión corporal, disciplina, emociones, trabajo en equipo). C_i: 4 (IA para coreografía asistida, notación de danza). ISIA: -5.8 (La danza es una expresión física y emocional puramente humana, la IA no puede replicarla)."
Biología,5,7,7,-2.8,Oportunidad controlada,"Bioquímica, Biología Marina, Agronomía","Geología, Química",0510,0510,0510,0510,"A_t: 5 (Análisis de datos genómicos y de ecosistemas es automatizable). R_h: 7 (Investigación de campo, hipótesis, síntesis ecológica). C_i: 7 (IA para análisis de secuencias, modelado ecológico, identificación de especies). ISIA: -2.8 (La IA acelera el análisis de datos, el biólogo formula las preguntas y realiza el trabajo de campo)."
Química,6,6,8,-1.8,Transformación híbrida,"Bioquímica, Ingeniería Química, Farmacia","Física, Matemáticas",0533,0533,0533,0533,"A_t: 6 (Análisis espectroscópico y simulaciones son automatizables). R_h: 6 (Diseño experimental, síntesis, interpretación de resultados complejos). C_i: 8 (IA para descubrimiento de materiales, predicción de reacciones, análisis de datos). ISIA: -1.8 (La IA es un partner en el laboratorio, el químico dirige la investigación)."
Física,5,8,8,-2.5,Oportunidad controlada,"Matemáticas, Ingeniería Civil, Química","Filosofía, Ingeniería en Informática",0532,0532,0532,0532,"A_t: 5 (Simulaciones y análisis de datos experimentales son automatizables). R_h: 8 (Pensamiento abstracto, modelado teórico, diseño experimental). C_i: 8 (IA para simulaciones complejas, análisis de datos de partículas, descubrimientos). ISIA: -2.5 (La IA maneja cálculos masivos, el físico desarrolla la teoría y la interpreta)."
Matemáticas,5,8,8,-2.2,Transformación híbrida,"Estadística, Física, Actuaría","Ingeniería en Informática, Economía",0541,0541,0541,0541,"A_t: 5 (Cálculos y demostraciones de teoremas pueden ser asistidos). R_h: 8 (Pensamiento abstracto, creatividad en la resolución de problemas, lógica pura). C_i: 8 (IA para resolver problemas complejos, verificar demostraciones). ISIA: -2.2 (La IA es una herramienta para explorar conjeturas, el matemático aporta el insight creativo)."
Estadística,7,6,9,1.0,Transformación híbrida,"Matemáticas, Actuaría, Ingeniería en Finanzas","Sociología, Economía",0541,0541,0541,0541,"A_t: 7 (Análisis de datos rutinario y generación de reportes son altamente automatizables). R_h: 6 (Diseño de experimentos, interpretación de resultados en contexto, comunicación de hallazgos). C_i: 9 (IA para análisis predictivo, modelos avanzados, procesamiento de big data). ISIA: 1.0 (La IA automatiza el análisis descriptivo, el estadístico se enfoca en el diseño y la inferencia causal)."
Agronomía,5,7,8,-2.5,Oportunidad controlada,"Ingeniería Agrícola, Biología, Ingeniería en Ambiental","Economía, Geología",0621,0621,0621,0621,"A_t: 5 (Monitoreo de cultivos con drones y sensores es automatizable). R_h: 7 (Toma de decisiones en campo, gestión de recursos, comprensión de suelos y clima). C_i: 8 (IA para agricultura de precisión, predicción de plagas, riego optimizado). ISIA: -2.5 (La IA proporciona datos, el agrónomo toma las decisiones de manejo)."
Ingeniería Forestal,5,7,7,-2.8,Oportunidad controlada,"Agronomía, Geología, Ingeniería en Ambiental","Biología, Derecho (ambiental)",0622,0622,0622,0622,"A_t: 5 (Monitoreo de bosques con satélites y drones). R_h: 7 (Manejo sostenible, trabajo en campo, planificación a largo plazo). C_i: 7 (IA para inventario forestal, predicción de incendios, optimización de cosecha). ISIA: -2.8 (La IA ayuda en la medición y monitoreo, el ingeniero forestal gestiona el ecosistema)."
Geología,5,7,7,-3.0,Oportunidad controlada,"Ingeniería en Minas, Geografía, Biología","Física, Química",0532,0532,0532,0532,"A_t: 5 (Análisis de datos sísmicos y de sensores remotos). R_h: 7 (Trabajo de campo, interpretación de estructuras, razonamiento 3D). C_i: 7 (IA para análisis de datos geofísicos, modelado de yacimientos). ISIA: -3.0 (La IA procesa datos, el geólogo los interpreta en el contexto geológico)."
Oceanografía,5,7,7,-2.8,Oportunidad controlada,"Biología Marina, Geología, Ingeniería en Acuicultura","Química, Física",0532,0532,0532,0532,"A_t: 5 (Análisis de datos de boyas y satélites). R_h: 7 (Trabajo en mar, síntesis de procesos oceanográficos). C_i: 7 (IA para modelado climático-oceánico, análisis de corrientes). ISIA: -2.8 (La IA modela el océano, el oceanógrafo valida y aplica el conocimiento)."
Ingeniería en Acuicultura,5,7,7,-2.8,Oportunidad controlada,"Biología Marina, Oceanografía, Agronomía","Veterinaria, Ingeniería en Alimentos",0621,0621,0621,0621,"A_t: 5 (Monitoreo de calidad de agua y alimentación automatizada). R_h: 7 (Manejo de stocks, salud animal, gestión de granjas). C_i: 7 (IA para optimización de alimentación, detección de enfermedades). ISIA: -2.8 (La IA ayuda en la gestión operativa, el ingeniero se enfoca en la salud y productividad de los cultivos)."
Ingeniería Agrícola,5,7,8,-2.5,Oportunidad controlada,"Agronomía, Ingeniería Civil, Ingeniería Mecánica","Ingeniería en Ambiental, Física",0621,0621,0621,0621,"A_t: 5 (Diseño de sistemas de riego y maquinaria es asistido por IA). R_h: 7 (Diseño de infraestructura agrícola, mecanización, resolución de problemas técnicos). C_i: 8 (IA para diseño de maquinaria autónoma, optimización de invernaderos). ISIA: -2.5 (La IA es una herramienta de diseño, el ingeniero aplica los conocimientos al contexto agrícola)."
Horticultura,4,7,7,-3.5,Oportunidad controlada,"Agronomía, Biología, Ingeniería en Alimentos","Diseño de Interiores, Marketing",0621,0621,0621,0621,"A_t: 4 (Manejo de invernaderos puede ser automatizado). R_h: 7 (Conocimiento de especies, manejo de cultivos, mejora genética). C_i: 7 (IA para control climático en invernaderos, optimización de cosecha). ISIA: -3.5 (La IA controla el ambiente, el horticultor maneja la planta y la calidad)."
Vitivinicultura,4,7,7,-3.2,Oportunidad controlada,"Agronomía, Química, Ingeniería en Alimentos","Marketing, Turismo",0621,0621,0621,0621,"A_t: 4 (Control de fermentación y monitoreo de viñedos con sensores). R_h: 7 (Paladar, olfato, tradición, arte de la mezcla). C_i: 7 (IA para control de procesos de vinificación, análisis de suelos). ISIA: -3.2 (La IA ayuda en la consistencia, el enólogo aporta el arte y la sensibilidad)."
Técnico en Enfermería,5,8,6,-3.8,Oportunidad controlada,"Enfermería, Técnico en Administración (salud)","Trabajo Social, Psicología",0912,0912,0912,0912,"A_t: 5 (Toma de signos vitales y registro pueden ser automatizados). R_h: 8 (Cuidado directo, empatía, apoyo al paciente, trabajo en equipo). C_i: 6 (IA para monitoreo de signos, recordatorios de medicación). ISIA: -3.8 (La IA libera tiempo de tareas administrativas, el técnico se enfoca en el cuidado humano directo)."
Técnico en Administración,7,5,8,3.2,Alta reconversión,"Administración de Empresas, Contador Auditor, Técnico en Contabilidad","Psicología, Derecho",0413,0413,0413,0413,"A_t: 7 (Tareas de oficina repetitivas son altamente automatizables). R_h: 5 (Servicio al cliente, organización, comunicación básica). C_i: 8 (IA para gestión de documentos, atención al cliente con chatbots, programación). ISIA: 3.2 (Riesgo alto de automatización de tareas rutinarias. Debe evolucionar hacia roles de apoyo especializado y gestión de excepciones)."
Técnico en Contabilidad,8,5,8,4.5,Alta reconversión,"Contador Auditor, Técnico en Administración","Derecho, Auditoría",0412,0412,0412,0412,"A_t: 8 (Digitación, conciliación y facturación son extremadamente automatizables). R_h: 5 (Atención al detalle, ética, comunicación). C_i: 8 (IA para procesamiento de facturas, conciliación bancaria, reportes). ISIA: 4.5 (Riesgo crítico de sustitución por RPA (Automatización Robótica de Procesos). La reconversión es urgente)."
Técnico en Programación,6,7,8,-0.5,Transformación híbrida,"Ingeniería en Informática, Diseño Gráfico (UX/UI)","Matemáticas, Lógica",0610,0610,0610,0610,"A_t: 6 (La IA puede generar código simple y realizar testing). R_h: 7 (Resolución de problemas, lógica, atención al detalle, trabajo en equipo). C_i: 8 (La IA es la herramienta central para desarrollo, debugging y documentación). ISIA: -0.5 (La IA aumenta la productividad, el técnico se enfoca en tareas de implementación, mantenimiento y soporte especializado)."
